experiment,group,scenario,chain,quality,engine,cs_psnr,sr_psnr,cs_ssim,sr_ssim,cs_mae,sr_mae,cs_rmse,sr_rmse
cascade,single,None,None,0,sim,20.770168685913085,23.876734771728515,0.8430067825317383,0.7359096813201904,16.71294563293457,12.105836563110351,25.06381851196289,17.162607650756836
cascade,single,JPEG,JPEG,80,sim,20.770168685913085,22.604202499389647,0.8430067825317383,0.6372364330291748,16.71294563293457,13.93041748046875,25.06381851196289,19.706851882934572
cascade,single,WebP,WebP,80,sim,20.770965118408203,23.410064849853516,0.8430123329162598,0.7006842017173767,16.7128010559082,12.877070388793946,25.06135208129883,17.974140701293944
cascade,single,HEIF,HEIF,80,sim,20.76984848022461,23.33042053222656,0.8430493927001953,0.7041655158996583,16.71229751586914,13.00984977722168,25.06497917175293,18.120634460449217
cascade,single,AVIF,AVIF,80,sim,20.770590744018556,23.52025749206543,0.8430172538757325,0.7079113626480102,16.712183151245117,12.672656936645508,25.062399291992186,17.789640579223633
cascade,cascade,Single (baseline),JPEG,80,sim,20.770168685913085,22.604202499389647,0.8430067825317383,0.6372364330291748,16.71294563293457,13.93041748046875,25.06381851196289,19.706851882934572
cascade,cascade,Double same,JPEG -> JPEG,80,sim,20.770168685913085,22.49127014160156,0.8430067825317383,0.632575364112854,16.71294563293457,14.118373832702638,25.06381851196289,19.957648849487306
cascade,cascade,Double cross,JPEG -> WebP,80,sim,20.770168685913085,22.28218467712402,0.8430067825317383,0.614323239326477,16.71294563293457,14.537032127380371,25.06381851196289,20.36841857910156
cascade,cascade,Triple mixed,JPEG -> WebP -> JPEG,80,sim,20.770168685913085,22.141941833496094,0.8430067825317383,0.6144367814064026,16.71294563293457,14.771379089355468,25.06381851196289,20.700960998535155
cascade,cascade,Platform simulate,JPEG -> HEIF -> WebP,80,sim,20.770168685913085,21.921909866333007,0.8430067825317383,0.599715301990509,16.71294563293457,15.250287818908692,25.06381851196289,21.141576232910158
