epoch,lr,lambda_hide,train_loss,train_loss_hide,train_loss_reveal,train_loss_freq,val_loss,val_cover_psnr,val_cover_ssim,val_secret_psnr,val_secret_ssim,train_residual,val_residual,epoch_seconds,is_best
1,0.00019999804582475757,0.0,2.803191843032837,4.00481686592102,2.7731795501708985,0.0009305177163332701,6.824193916320801,9.703415145874024,0.6344787335395813,16.042308158874512,0.48015969634056094,54.44336725026369,69.7095223903656,32.697396755218506,0
2,0.00019999218337617781,0.0,1.977220811843872,5.2410032844543455,1.9601614332199098,0.0009138600900769234,7.198539218902588,8.953860473632812,0.6034538769721984,16.79846633911133,0.4981963312625885,73.49298757910728,76.988842856884,21.411946773529053,0
3,0.0001999824128857001,0.0,1.8116262865066528,5.4386742973327635,1.7949619913101196,0.000937021563295275,6.895341835021973,9.069527320861816,0.5794910287857056,17.410431060791016,0.5175164008140564,76.3399513721466,76.02201179265975,21.47317385673523,0
4,0.0001999687347390467,0.0,1.7060774040222169,5.409779739379883,1.6886978912353516,0.0009955518506467342,7.083799438476563,9.215553092956544,0.5604417133331299,16.787289123535157,0.5257747387886047,75.95638080239296,72.77431633472443,21.378721237182617,0
5,0.00019995114947620745,0.0,1.6759558057785033,5.332222843170166,1.6613067626953124,0.001072108754888177,6.651267337799072,8.962561492919923,0.5415256452560425,18.269703216552735,0.5467266464233398,75.31396052241325,75.65054372549056,21.352437734603882,0
6,0.00019992965779141837,0.0,1.6337645292282104,5.350558090209961,1.617309055328369,0.0011337850615382194,7.097957763671875,8.503398284912109,0.4811729419231415,18.466906433105468,0.5509216594696045,75.46656154990197,80.76050496697425,21.358951568603516,0
7,0.0001999042605331344,0.0,1.5011143636703492,5.3843496131896975,1.4785336256027222,0.0011818616557866335,6.637662506103515,9.083843460083008,0.5002643871307373,18.74954833984375,0.5578686380386353,75.22339527010918,75.70395913124085,21.360817909240723,0
8,0.00019987495870399578,0.0,1.321094741821289,5.507986450195313,1.3023551177978516,0.0012010821653530002,6.765875587463379,8.652844200134277,0.5043223333358765,19.249235610961914,0.5720193910598755,77.00643530488014,79.77155756950378,21.409828186035156,0
9,0.00019984175346078858,0.0,1.3048973488807678,5.544167423248291,1.2854177117347718,0.0012412497214972973,6.797317180633545,8.185272769927979,0.46150539636611937,20.08762252807617,0.5809239673614502,77.4805908858776,82.85080533027649,21.37275719642639,0
10,0.00019980464611439892,0.0,1.165400469303131,5.64661714553833,1.1477792906761168,0.0012907139863818885,6.758113422393799,8.489072608947755,0.47021846413612367,19.650987243652345,0.5820331716537476,79.08227151632309,80.50006846189498,21.454181432724,0
11,0.00019976363812976132,0.0,1.1084484672546386,5.680207176208496,1.092268524169922,0.0013098757388070226,6.7480574798583985,8.508229942321778,0.47871166229248047,19.739654388427734,0.5866381072998047,79.8196024954319,80.4015576839447,21.533512830734253,0
12,0.0001997187311258008,0.0,1.1021392941474915,5.7311695861816405,1.0875878882408143,0.0013300228537991643,6.848900184631348,8.171496810913085,0.4398698854446411,20.265275115966798,0.5940818071365357,80.63032912015915,83.11966066360473,21.4331693649292,0
