epoch,lr,lambda_hide,train_loss,train_loss_hide,train_loss_reveal,train_loss_freq,val_loss,val_cover_psnr,val_cover_ssim,val_secret_psnr,val_secret_ssim,train_residual,val_residual,epoch_seconds,is_best
1,0.00019999218337617781,0.0,2.859257712364197,4.389479265213013,2.8197276830673217,0.0012881209584884345,6.567595024108886,11.021455268859864,0.6521069955825806,15.873670196533203,0.49036632537841796,58.54032625705004,62.81811900436878,25.00242257118225,0
2,0.0001999687347390467,0.0,1.8961502265930177,4.986715068817139,1.8794468307495118,0.001204232193995267,6.887086486816406,9.682624435424804,0.6071675372123718,16.867960510253905,0.518676586151123,69.523741543293,71.80525129437447,24.668684720993042,0
3,0.00019992965779141834,0.0,1.7533517980575561,5.320350875854492,1.7372468757629393,0.0012892131484113633,6.607190265655517,9.694550552368163,0.6044394874572754,17.46239196777344,0.5294523191452026,74.27134906053543,71.18678675293923,24.875282287597656,0
4,0.00019987495870399575,0.0,1.6506900882720947,5.4652626419067385,1.6358084678649902,0.001213372799102217,6.816032581329345,9.029611587524414,0.5424033689498902,18.0561474609375,0.5515002250671387,76.49471341967583,75.77780102491378,24.426726818084717,0
5,0.0001998046461143989,0.0,1.6197479677200317,5.571545124053955,1.6059323167800903,0.0013292554696090518,7.224790992736817,8.596850128173829,0.4925123929977417,17.956455307006834,0.5613182878494263,78.33515104651451,80.81413711309433,24.67425036430359,0
6,0.00019971873112580079,0.0,1.5979954671859742,5.593342609405518,1.5847730684280394,0.0013106950791552663,6.765316066741943,8.962911148071289,0.5227298164367675,18.420430603027345,0.5738186883926392,78.90228885412216,76.77590714693069,24.438764095306396,0
7,0.00019961722730517408,0.0,1.5047863817214966,5.777903614044189,1.4924021291732787,0.0014030990889295936,8.20724624633789,7.889092044830322,0.4738034462928772,16.956569366455078,0.563418083190918,81.5271855711937,86.44435762166977,24.656482219696045,0
8,0.00019950015068114874,0.0,1.5332427406311036,5.764421634674072,1.5153599739074708,0.0015139327384531497,7.366416702270508,8.231671829223632,0.5023841691017151,18.739969024658205,0.5881680107116699,80.61437301635742,84.07748864293099,24.683103561401367,0
9,0.00019936751974148083,0.0,1.3639034938812256,6.023804874420166,1.3454240322113038,0.0014573455532081426,7.336656227111816,7.939529151916504,0.4748798096179962,19.234162216186522,0.5947387552261353,84.10320627093316,86.88684478998184,24.480109214782715,0
10,0.00019921935543013331,0.0,1.2832788944244384,5.916257495880127,1.2664929389953614,0.0015607596957124769,7.291598873138428,8.368348236083984,0.491805362701416,18.804550018310547,0.6027160453796386,82.81936551332474,82.21802558898926,24.59138584136963,0
