epoch,lr,lambda_hide,train_loss,train_loss_hide,train_loss_reveal,train_loss_freq,val_loss,val_cover_psnr,val_cover_ssim,val_secret_psnr,val_secret_ssim,train_residual,val_residual,epoch_seconds,is_best
1,0.00019999218337617781,0.0,2.809009256362915,4.51654753446579,2.7813339948654177,0.0007182487496174872,7.898621425628662,8.494162940979004,0.5404361200332641,15.907175445556641,0.48769801020622255,61.85345374792814,83.18927475214005,23.29392147064209,0
2,0.0001999687347390467,0.0,1.965269365310669,5.786986923217773,1.9386017179489137,0.0007667275052517653,7.418470497131348,8.648358840942382,0.5335453939437866,17.243475189208983,0.5180896830558777,80.07557317614555,81.28883925676345,23.035770654678345,0
3,0.00019992965779141834,0.0,1.8328641700744628,5.917600078582764,1.8051604795455933,0.0007970739505253732,7.663133239746093,8.06208833694458,0.4817011880874634,17.945799865722655,0.5374834275245667,81.54347666502,86.56064658164978,22.949107885360718,0
4,0.00019987495870399575,0.0,1.6475618505477905,5.740234394073486,1.619984383583069,0.0008308357233181595,7.246331005096436,8.488682250976563,0.48893479228019715,18.259347915649414,0.5546872329711914,79.10534995794296,81.5426410138607,23.064380168914795,0
5,0.0001998046461143989,0.0,1.4656362342834472,5.758940410614014,1.4399820804595946,0.0008570603863336146,7.338677673339844,8.097725677490235,0.46459222555160523,18.958289794921875,0.570275387763977,79.658019053936,85.17808377742767,23.06513023376465,0
6,0.00019971873112580079,0.0,1.3130049991607666,5.951065216064453,1.2888313817977906,0.0008947104588150978,7.40194450378418,7.836293487548828,0.4305559015274048,19.262787017822266,0.5828544569015502,82.63464040160179,87.09709936380386,23.0577232837677,0
7,0.00019961722730517408,0.0,1.2706247782707214,6.062580471038818,1.248779158592224,0.0008992164093069732,7.549618453979492,7.6939898872375485,0.4008365273475647,19.33637222290039,0.5884012603759765,84.58027918338776,88.56989121437073,23.066402912139893,0
8,0.00019950015068114874,0.0,1.2432869482040405,6.024570617675781,1.2230802226066588,0.0009238852444104851,7.399790477752686,7.775515747070313,0.4233619749546051,19.660400848388672,0.6011102414131164,84.42126957178115,87.85845599770546,22.98147439956665,0
9,0.00019936751974148083,0.0,1.0765416598320008,6.089041347503662,1.0584830331802368,0.0009119796613231301,7.278240070343018,7.70012264251709,0.4073186922073364,20.39590950012207,0.6089709091186524,85.79633431434631,88.88006036281585,22.979732275009155,0
10,0.00019921935543013331,0.0,1.0610010313987732,6.109153442382812,1.0425337767601013,0.000941802030429244,7.175848846435547,7.718743343353271,0.4069013488292694,20.557716674804688,0.6173502731323243,86.2061453640461,88.40071882009507,22.986480474472046,0
11,0.00019905568114396844,0.0,1.1161325764656067,6.000027160644532,1.096961727142334,0.0009505848889239132,7.207607097625733,7.653721961975098,0.3938256049156189,20.751966400146486,0.6263750100135803,84.56713675260544,89.3462290763855,23.028201580047607,0
12,0.00019887652272905347,0.0,0.9857772612571716,6.104789600372315,0.9702575016021728,0.0009338387823663651,6.7551636886596675,8.060021591186523,0.4150235104560852,21.196047973632812,0.6309408092498779,86.402106320858,85.03447701931,23.02331781387329,0
13,0.0001986819084765789,0.0,0.9826897525787354,6.06168794631958,0.9671656990051269,0.0009553018724545836,7.042891063690186,7.831207504272461,0.3999015128612518,20.92703514099121,0.6373202729225159,86.1003049314022,87.27294359207153,23.051592588424683,0
14,0.00019847186911839133,0.0,0.9453951859474182,5.996928405761719,0.9309743189811707,0.0010313283489085734,6.970184192657471,7.778204288482666,0.3920296716690064,21.24125518798828,0.6452257919311524,85.58185771107674,87.67275357842445,23.03245234489441,0
15,0.00019824643782214018,0.0,0.9462049293518067,6.069113674163819,0.931139907836914,0.0009837612276896834,6.936354312896729,7.6842645645141605,0.3851145052909851,21.64113296508789,0.6547093224525452,86.34857813715935,88.6902219414711,22.98780393600464,0
16,0.00019800565018604044,0.0,0.92303142786026,6.08149040222168,0.9088934850692749,0.001033621383830905,6.957128734588623,7.682612056732178,0.377338627576828,21.824307174682616,0.662979564666748,86.75607435107231,88.76017953157425,22.956838369369507,0
17,0.00019774954423325115,0.0,0.8833323144912719,5.9985119819641115,0.8697639083862305,0.0010556825040839613,6.831733837127685,7.824355487823486,0.3707245230674744,21.979154968261717,0.6710758018493652,85.96695792675018,87.2115030169487,23.043385982513428,0
18,0.00019747816040587113,0.0,0.9049262857437134,6.091929416656495,0.8908875608444213,0.0010726390173658729,6.942097473144531,7.8047871398925786,0.3702752280235291,21.700872802734374,0.6765764880180359,87.09705832600594,87.54522421360016,22.93276882171631,0
19,0.0001971915415585527,0.0,0.8496857261657715,6.0434791946411135,0.8363690400123596,0.0010932060657069087,6.895524501800537,7.828008117675782,0.3645911955833435,21.90234344482422,0.6887275433540344,86.77017463445664,87.17882294654846,22.963102102279663,0
20,0.00019688973295173447,0.0,0.8494295430183411,5.945905303955078,0.8371426892280579,0.0011162617709487676,6.7109407043457034,7.896418533325195,0.3724614906311035,22.383939208984376,0.6926288080215454,85.56799301505089,86.46107003688812,22.95592999458313,0
21,0.0001965727822444941,0.0,0.869688732624054,5.955095825195312,0.8569052958488464,0.0011104249558411539,7.129130802154541,7.74838264465332,0.35705166339874267,21.32189010620117,0.6986622476577758,85.76408620476722,87.88539807200432,23.018234968185425,0
22,0.00019624073948702248,0.0,0.9261638808250428,6.073905086517334,0.9102204132080078,0.0011260613379999995,6.873084659576416,7.704665565490723,0.3456964981555939,22.599729309082033,0.7093397808074952,86.92205734848976,88.68691855072976,23.008622884750366,0
23,0.00019589365711272018,0.0,0.7937932443618775,6.022067832946777,0.7823705410957337,0.0011555380676873028,6.701927909851074,7.806066360473633,0.35187026739120486,22.972883682250977,0.71773277759552,87.15838612318039,87.51767325997352,23.02011799812317,0
24,0.00019553158992991764,0.0,0.8134731960296631,5.973089675903321,0.8018059873580933,0.001217862549237907,6.831137943267822,7.821636886596679,0.35107176542282104,22.521666564941405,0.7201430940628052,86.28398616313935,87.46683046817779,22.990705013275146,0
25,0.0001951545951132202,0.0,0.7997214412689209,5.963414878845215,0.7887103748321533,0.0011404779343865811,6.824137725830078,7.69981014251709,0.3440484428405762,23.06460174560547,0.7264869832992553,86.11361728906631,88.39941077828408,23.019653797149658,0
26,0.00019476273219447965,0.0,0.7511469221115112,5.979981307983398,0.7405114197731018,0.0011654819129034877,6.784502696990967,7.781000576019287,0.3365760707855225,22.895238342285158,0.7273484539985656,86.70912954211235,87.7640739262104,22.97884511947632,0
27,0.00019435606305339355,0.0,0.754010112285614,5.896452331542969,0.7436037516593933,0.0012020190805196761,6.73915060043335,7.803307266235351,0.346675124168396,23.037355041503908,0.7332386088371277,85.61160920262337,87.56062007546424,23.01785683631897,0
28,0.00019393465190773351,0.0,0.7921466374397278,6.013892765045166,0.7801624393463135,0.0012046486814506353,6.867018356323242,7.837155799865723,0.3588150942325592,22.611239318847655,0.7221184420585632,86.84658215045928,87.57752916812896,23.085243225097656,0
29,0.00019349856530320457,0.0,0.7492262768745422,5.987182903289795,0.7396868562698364,0.0012307770526967944,6.895452976226807,7.733657646179199,0.3395837306976318,22.70284698486328,0.7366883826255798,86.92774275541305,88.29677858948708,23.01038098335266,0
30,0.00019304787210293686,0.0,0.8405848741531372,6.011130752563477,0.828483145236969,0.0013030645018443465,6.7486574172973635,7.746845893859863,0.314574590921402,22.9957706451416,0.7397357416152954,86.75123888254166,87.6856157362461,22.979469060897827,0
